Date,N10D,GPRD,GPRD_ACT,GPRD_THREAT,date,GPRD_MA30,GPRD_MA7,event,var_name,var_label
1970-01-01 00:00:00.019850101,216,230.0394287109375,275.1976013183594,153.02798461914062,1985-01-01,230.0394287109375,230.0394287109375,,DAY,DAY
1970-01-01 00:00:00.019850102,315,115.67697143554688,146.77206420898438,87.44457244873047,1985-01-02,172.8582000732422,172.8582000732422,,N10D,"Number of articles (10 recent newspapers, 1985-)"
1970-01-01 00:00:00.019850103,374,97.42845916748047,158.93765258789062,29.45993423461914,1985-01-03,147.71495056152344,147.71495056152344,,GPRD,Daily GPR (Index: 1985:2019=100)
1970-01-01 00:00:00.019850104,421,157.36663818359375,156.8822479248047,157.02635192871094,1985-01-04,150.12786865234375,150.12786865234375,,GPRD_ACT,Daily GPR Acts (Index: 1985:2019=100)
1970-01-01 00:00:00.019850105,285,81.36131286621094,92.6981430053711,77.31940460205078,1985-01-05,136.3745574951172,136.3745574951172,,GPRD_THREAT,Daily GPR Threats (Index: 1985:2019=100)
1970-01-01 00:00:00.019850106,396,167.3013916015625,166.7864227294922,208.67453002929688,1985-01-06,141.52903747558594,141.52903747558594,,date,Date
1970-01-01 00:00:00.019850107,346,105.3128433227539,57.26655197143555,143.29788208007812,1985-01-07,136.35528564453125,136.35528564453125,,GPRD_MA30,30 day moving average of Daily GPR
1970-01-01 00:00:00.019850108,379,87.40283966064453,34.85352325439453,130.8207550048828,1985-01-08,130.23623657226562,115.9786376953125,,GPRD_MA7,7 day moving average of Daily GPR
1970-01-01 00:00:00.019850109,382,121.40300750732422,103.73941040039062,129.79336547851562,1985-01-09,129.2547607421875,116.79663848876953,,event,Major event label
1970-01-01 00:00:00.019850110,424,140.62786865234375,77.88611602783203,181.9011993408203,1985-01-10,130.39207458496094,122.96798706054688,,,
1970-01-01 00:00:00.019850111,454,94.85326385498047,130.93101501464844,72.80626678466797,1985-01-11,127.1612777709961,114.03750610351562,,,
1970-01-01 00:00:00.019850112,312,95.55484008789062,42.33809280395508,123.59953308105469,1985-01-12,124.52740478515625,116.06514739990234,,,
1970-01-01 00:00:00.019850113,397,91.78398895263672,16.63663101196289,138.76593017578125,1985-01-13,122.00868225097656,105.27694702148438,,,
1970-01-01 00:00:00.019850114,360,211.6362762451172,183.46507263183594,229.5419921875,1985-01-14,128.41064453125,120.46601104736328,,,
1970-01-01 00:00:00.019850115,375,97.16864776611328,105.67588806152344,102.83480834960938,1985-01-15,126.32785034179688,121.86112976074219,,,
1970-01-01 00:00:00.019850116,405,106.32933807373047,114.15604400634766,95.21741485595703,1985-01-16,125.07794189453125,119.70774841308594,,,
1970-01-01 00:00:00.019850117,424,54.68861770629883,62.308895111083984,38.97882843017578,1985-01-17,120.93739318847656,107.43070983886719,,,
1970-01-01 00:00:00.019850118,417,111.21331024169922,63.3548469543457,132.11048889160156,1985-01-18,120.39717102050781,109.76786041259766,,,
1970-01-01 00:00:00.019850119,321,51.59762954711914,41.15104293823242,68.6480712890625,1985-01-19,116.77613830566406,103.4882583618164,,,
1970-01-01 00:00:00.019850120,383,77.84101867675781,68.97903442382812,86.30298614501953,1985-01-20,114.82938385009766,101.49640655517578,,,
1970-01-01 00:00:00.019850121,359,138.4081268310547,183.9761199951172,76.72712707519531,1985-01-21,115.95217895507812,91.03524017333984,,,
1970-01-01 00:00:00.019850122,320,51.75886917114258,61.919464111328125,34.431297302246094,1985-01-22,113.0343017578125,84.54812622070312,,,
1970-01-01 00:00:00.019850123,398,124.84551239013672,82.97415161132812,138.4172821044922,1985-01-23,113.54783630371094,87.19329833984375,,,
1970-01-01 00:00:00.019850124,396,83.65069580078125,50.03593063354492,97.3814468383789,1985-01-24,112.3021240234375,91.33073425292969,,,
1970-01-01 00:00:00.019850125,472,70.1815185546875,13.993098258972168,105.04463195800781,1985-01-25,110.61729431152344,85.46905517578125,,,
1970-01-01 00:00:00.019850126,306,54.12692642211914,43.168251037597656,72.01317596435547,1985-01-26,108.44458770751953,85.83038330078125,,,
1970-01-01 00:00:00.019850127,416,63.70322799682617,47.63035583496094,66.21403503417969,1985-01-27,106.78750610351562,83.81069946289062,,,
